frame,objeto detectado,confianza,id,x_center_norm,y_center_norm
302,Red Light,0.22,,0.443921,0.51989
302,Speed Limit 50,0.2,,0.08439,0.503086
303,Red Light,0.27,,0.448599,0.517812
303,Speed Limit 50,0.24,,0.071861,0.501175
303,Green Light,0.21,,0.448752,0.517845
304,Red Light,0.38,,0.45383,0.516477
304,Green Light,0.3,,0.454102,0.516991
305,Speed Limit 90,0.15,,0.047484,0.492773
307,Red Light,0.39,,0.489142,0.507165
308,Red Light,0.69,,0.568353,0.482721
309,Red Light,0.69,,0.584402,0.476265
310,Red Light,0.78,,0.619303,0.461556
311,Red Light,0.79,,0.640066,0.450777
311,Red Light,0.16,,0.199329,0.503594
312,Red Light,0.82,,0.663461,0.440127
312,Red Light,0.28,,0.200206,0.50419
313,Red Light,0.86,,0.721221,0.409138
313,Red Light,0.27,,0.200899,0.502385
314,Red Light,0.9,,0.759579,0.38829
314,Red Light,0.18,,0.200946,0.502076
315,Red Light,0.88,,0.803167,0.36019
322,Green Light,0.2,,0.128578,0.466762
324,Green Light,0.23,,0.109051,0.457148
324,Speed Limit 50,0.13,,0.493947,0.544637
325,Green Light,0.38,,0.109263,0.456166
325,Speed Limit 110,0.12,,0.493806,0.544861
326,Speed Limit 110,0.24,,0.506815,0.543707
326,Green Light,0.15,,0.086432,0.448151
327,Speed Limit 110,0.24,,0.506823,0.543649
327,Green Light,0.15,,0.086409,0.44824
328,Red Light,0.13,,0.063256,0.439413
330,Speed Limit 110,0.31,,0.545885,0.540015
333,Speed Limit 110,0.28,,0.60649,0.532877
334,Speed Limit 110,0.32,,0.622519,0.530971
335,Speed Limit 50,0.29,,0.664345,0.5249
335,Speed Limit 90,0.15,,0.128612,0.528426
336,Speed Limit 110,0.29,,0.691331,0.518809
336,Speed Limit 80,0.23,,0.690914,0.518885
336,Speed Limit 120,0.12,,0.690997,0.518487
337,Speed Limit 120,0.33,,0.759545,0.50612
337,Speed Limit 80,0.19,,0.759537,0.506305
